Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
ANTH 130G	As Amer Ethnog/Film	Nancy N Chen	2023 Fall Quarter	2238	N		20	14	7		1	2	1					2	1		1					49
ANTH 130I	Cultures of India	Annapurna Devi Pandey	2023 Fall Quarter	2238	N		7	15	2	5	5	5	1	3			1	8	2	2				1		57
ANTH 145X	Socio-Cultural Anth	Azrikam (Azri) Amram	2023 Fall Quarter	2238	N	5	2	2		1					1			1		1				1		14
ANTH 150	Communicating Anth	Renya K Ramirez	2023 Fall Quarter	2238	N	2	9	3																		14
ANTH 176F	Cal Archaeology	Tsim D Schneider	2023 Fall Quarter	2238	N	12	18		9	14		6	3			1			4	1						68
ANTH 196G	Queer Worlds	Savannah T Shange-Binion	2023 Fall Quarter	2238	Y		5	7	1									1	2							16
ANTH 196O	Gender and Politics	Alejandra Letelier Kramer	2023 Fall Quarter	2238	N	2	5		1	1										1						10
APLX 80	Intro Applied Ling	Donald Patrick Miller	2023 Fall Quarter	2238	N	12	9	3	1	3	2			1		1		3								35
APLX 116	Discourse Analysis	Josefina Bittar Prieto	2023 Fall Quarter	2238	N	9	4											1						1		15
APLX 122	LingDiv&SocJustice	Zsuzsanna Abrams	2023 Fall Quarter	2238	N	1	5	1		1	1		1													10
APLX 138	English Grammar TESOL	Donald Patrick Miller	2023 Fall Quarter	2238	N	5	8	3	2	1	1	1	2	1						1						25
ARBC 1	Arabic: First Year	Abdelkader Berrahmoun	2023 Fall Quarter	2238	N		23												2							25
ART 10D	2D Foundation	Sarah Sanford	2023 Fall Quarter	2238	N	40	62	49	12	16	13	6	9			4		5	4	6				5		231
ART 20G	Intro Print/Draw	Whitney Joanne Payne Humphreys	2023 Fall Quarter	2238	N		17	2	2	2			1								1			1		26
ART 20I	Intro Photography	Kathleen Chris Perry	2023 Fall Quarter	2238	N		10	7	4	2	1								1							25
ART 20J	Intro Draw/Paint	Melissa Gwyn	2023 Fall Quarter	2238	N		16	3		4	2															25
ART 20L	Intro to Drawing	Grant Whipple	2023 Fall Quarter	2238	N	7	56	42	8	13	5	6	4	1				10	20	9	1			6		188
ART 101	Computer Prog Arts	Wes Modes	2023 Fall Quarter	2238	N		49	7	4	1		1			1			6	3					3		75
ART 106C	StopMotionAnimation	Ann Amica Altstatt	2023 Fall Quarter	2238	N	1	9	6	2	2	2								1		1			1		25
ART 106O	2D Animation	Ann Amica Altstatt	2023 Fall Quarter	2238	N	18	26	34	6	5	8	4	7		1	1	1	10	17	4				4		146
ART 119	Spec Topics Drawing	Grant Whipple	2023 Fall Quarter	2238	N		13	3	2	1	1	1						1								22
ART 125	Enviro Art Studio	Edward A. Shanken	2023 Fall Quarter	2238	N	2	9	2	2	3								3						1		22
ART 130	Interm/Adv Painting	Melissa Gwyn	2023 Fall Quarter	2238	N		8	3	5	5	1		3													25
ART 139	Spec Topcs Painting	Travis McEwen	2023 Fall Quarter	2238	N		13	11																		24
